Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
Apollo Tyres Ltd.,471.0,187662,0.2800334088365969,20.40307677560142,1.3620850369032085,478.94907215231143,49.23769489130942,74.2423822074259,-0.023155577553800155,-0.00016961820039285548
Ashok Leyland Ltd.,222.1999969482422,1758698,-0.03828291541429141,21.825294531993926,1.0573821717713112,216.26887825053277,38.34476653390095,39.62261978108032,0.021011078392701554,0.00026826837966464494
Asian Paints Ltd.,2890.0,157047,-2.5374694943270857,18.425973473821582,9.945226902352681,2879.4087730485608,40.363902085417266,3.875968992248062,-0.9388957381148622,3.683200414337152e-05
Astral Ltd.,2110.10009765625,24179,-0.11156066254151398,43.64826030131835,8.647380820928712,2152.5131633104816,30.712338449931522,12.69871342209056,-0.3690037203235086,-0.0002020103059791216
Aurobindo Pharma Ltd.,1221.0,178789,-0.7221786689541969,25.88956288612498,5.474590124060367,1208.4434715797113,51.27675649642829,48.275934643365765,-0.08065652094639209,0.00010335484482455347
Avenue Supermarts Ltd.,4476.85009765625,32201,-1.750599020881407,24.538134690613315,22.70868658533133,4616.572862391562,41.50890158808212,24.174313856567856,-2.2955458612385913,-0.00031366895499746405
Axis Bank Ltd.,1159.75,1150842,-0.09158280001482488,43.952187628887025,4.61320315766082,1161.2640674594481,30.47411628314616,24.55494061530709,0.01494057944900895,-1.3120722902573179e-05
BSE Ltd.,2629.0,63078,-0.028249852815124044,34.591322149853326,9.241676668765226,2690.749761758268,22.701442763065586,4.158793508397054,-0.8001468542876875,-0.00023605957424352165
Bajaj Auto Ltd.,9070.2001953125,36988,7.309265011818084,31.309538943720263,34.58115691790472,8935.16057019051,66.81482686305262,65.01017664274784,-1.2684500014452773,0.00014963089378479998
Bajaj Finance Ltd.,6785.5498046875,58746,-5.8407303129187405,32.5589849680488,18.71809357710701,6833.412180954022,16.12769341635756,0.0,-1.5983464856695022,-7.08901888641079e-05
Bajaj Finserv Ltd.,1569.9000244140625,168363,0.2868463865858386,41.240935902360334,4.587792548842203,1590.6701622639118,33.74038176576231,32.15576662612041,0.020343827848441798,-0.00013296713215624846
Bajaj Holdings & Investment Ltd.,7793.89990234375,3997,2.2347174525507008,67.75543400593268,17.34309924628166,8024.7234707821335,37.44258992505695,58.0595557369403,0.4449473082392039,-0.00029764750481065
Balkrishna Industries Ltd.,3087.14990234375,9760,1.2523355106982645,15.414796180099355,14.85736768880526,2981.144947724887,48.84490347147781,37.724933353080566,-0.9888563458424726,0.0003451003229619036
Bandhan Bank Ltd.,191.6999969482422,903566,-0.08794679415307094,15.646496557717104,0.7940602876192652,188.0389566698028,52.50661603184364,65.11618004002781,0.03005111790751555,0.00019193727304869324
Bank of Baroda,263.5,1048838,0.08755181518151955,35.08583286975685,0.9678357115201169,266.34695409475387,43.832091821142924,39.583439296068356,0.013952466103381633,-0.00010858673232394849
Bank of India,129.5500030517578,496144,-0.0006802242824539562,36.212971808746275,0.48597343168516927,129.87827549232608,41.33687893041362,21.428882833787466,-0.0004999204199285234,-2.546677291001576e-05
Bank of Maharashtra,68.9000015258789,1431177,0.015611740593893114,18.21777517312379,0.36158855525160566,68.24410646793,48.993688668778326,50.0,0.0010713063029622744,9.567358467567595e-05
Berger Paints India Ltd.,491.0,194669,-0.8803909619014789,21.642553497775744,2.1459896597111077,491.8279089623229,34.534311468900185,8.771934521021,-0.30881348405169473,-1.694642176914261e-05
Bharat Dynamics Ltd.,1545.0,484419,1.3935544836512719,26.70506131775081,16.379656250344524,1390.217950584526,67.84729061733886,90.09562180857628,0.4349533038769202,0.0010068598618691062
